signup_month,Month_0,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Month_13,Month_14,Month_15,Month_16,Month_17,Month_18,Month_19,Month_20,Month_21,Month_22,Month_23
2024-01,,,,,,,,,,,,,1.0,1.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,2.0,4.0,6.0
2024-02,,,,,,,,,,,,3.0,,2.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,
2024-03,,,,,,,,,,,3.0,5.0,6.0,2.0,7.0,6.0,6.0,5.0,2.0,7.0,5.0,5.0,,
2024-04,,,,,,,,,,2.0,6.0,3.0,5.0,5.0,7.0,7.0,2.0,3.0,2.0,7.0,3.0,,,
2024-05,,,,,,,,,2.0,,2.0,1.0,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,,,,
2024-06,,,,,,,,3.0,2.0,3.0,3.0,,1.0,1.0,2.0,3.0,2.0,3.0,3.0,,,,,
2024-07,,,,,,,3.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,,,,,,
2024-08,,,,,,3.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,,,,,,,
2024-09,,,,,4.0,5.0,6.0,4.0,5.0,9.0,4.0,7.0,6.0,8.0,5.0,10.0,,,,,,,,
2024-10,,,,4.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,,,,,,,,,
2024-11,,,4.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,
2024-12,,2.0,1.0,3.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,,,,,,,,,,,
2025-01,2.0,2.0,,1.0,1.0,,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
2025-02,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,
2025-03,3.0,1.0,3.0,1.0,6.0,5.0,4.0,2.0,4.0,3.0,,,,,,,,,,,,,,
2025-04,7.0,3.0,8.0,5.0,4.0,1.0,4.0,4.0,3.0,,,,,,,,,,,,,,,
2025-05,1.0,4.0,3.0,3.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,
2025-06,2.0,2.0,1.0,4.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,,
2025-07,1.0,6.0,5.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
2025-08,3.0,4.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
2025-09,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
2025-10,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,
2025-11,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
2025-12,3.0,,,,,,,,,,,,,,,,,,,,,,,
