order_id,product_id,quantity,product_name,category,price,customer_id,order_date,region,customer_name,city,signup_date,revenue,order_year,order_month,order_weekday,customer_tenure,order_total,order_quantity,order_size_category,total_spent,order_count,avg_order_value,unique_products,categories_bought,archetype,projected_clv
O0834,P014,1,Product_14,Furniture,3389.0,C028,2025-04-02,North,Customer_28,Hyderabad,2024-10-27,3389.0,2025.0,4.0,Wednesday,607,347513.0,10,,588515.0,3,65390.555555555555,7,3,New or Inactive,728920.2033898305
O0584,P023,5,Product_23,Electronics,55196.0,C149,2025-10-31,South,Customer_149,Delhi,2024-08-30,275980.0,2025.0,10.0,Friday,665,496226.0,13,,1761303.0,6,92700.15789473684,17,5,Loyal Spenders,2089813.5238095238
O0288,P039,5,Product_39,Clothing,48771.0,C098,2025-10-27,East,Customer_98,Delhi,2025-05-12,243855.0,2025.0,10.0,Monday,410,267533.0,6,Large,1507433.0,7,94214.5625,14,5,Frequent but Low‑Value,1457817.2857142857
O0173,P021,3,Product_21,Electronics,58375.0,C037,2025-05-17,North,Customer_37,Chennai,2025-10-12,175125.0,2025.0,5.0,Saturday,257,713363.0,15,,2064199.0,8,89747.78260869565,19,5,High‑Value Regulars,2425420.28
O0297,P037,3,Product_37,Clothing,58264.0,C061,2025-02-19,Central,Customer_61,Lucknow,2025-07-28,174792.0,2025.0,2.0,Wednesday,333,562927.0,18,,2046809.0,4,97467.09523809524,16,5,Loyal Spenders,2089813.5238095238
O0976,P033,1,Product_33,Sports,58442.0,C092,2025-01-28,North,Customer_92,Kolkata,2024-11-27,58442.0,2025.0,1.0,Tuesday,576,58442.0,1,Small,756553.0,4,84061.44444444444,8,4,New or Inactive,728920.2033898305
O0139,P049,4,Product_49,Furniture,54274.0,C093,2025-04-27,South,Customer_93,Chennai,2024-01-20,217096.0,2025.0,4.0,Sunday,888,260335.0,9,Large,1179242.0,5,98270.16666666667,10,5,Explorers,1159932.0363636364
O0941,P004,3,Product_4,Electronics,58808.0,C018,2025-06-13,East,Customer_18,Indore,2024-12-14,176424.0,2025.0,6.0,Friday,559,672330.0,17,,1804969.0,5,106174.64705882352,14,4,Occasional Buyers,985968.4242424242
O0888,P042,2,Product_42,Clothing,17985.0,C044,2025-09-24,West,Customer_44,Bhopal,2024-06-24,35970.0,2025.0,9.0,Wednesday,732,107252.0,8,Large,546138.0,3,91023.0,6,5,Explorers,1159932.0363636364
O0719,P009,2,Product_9,Furniture,13842.0,C031,2025-12-20,East,Customer_31,Pune,2025-12-22,27684.0,2025.0,12.0,Saturday,186,111755.0,7,Large,644926.0,4,53743.833333333336,12,5,Explorers,1159932.0363636364
O0150,P046,3,Product_46,Home & Kitchen,15077.0,C176,2025-11-19,North,Customer_176,Mumbai,2025-09-26,45231.0,2025.0,11.0,Wednesday,273,283594.0,9,Large,788091.0,3,98511.375,7,3,New or Inactive,728920.2033898305
O0849,P016,4,Product_16,Clothing,42253.0,C059,2025-01-22,South,Customer_59,Bangalore,2024-09-28,169012.0,2025.0,1.0,Wednesday,636,410462.0,11,,1458058.0,4,104147.0,11,5,Explorers,1159932.0363636364
O0502,P010,5,Product_10,Furniture,33622.0,C140,2025-09-27,Central,Customer_140,Pune,2024-07-13,168110.0,2025.0,9.0,Saturday,713,392688.0,9,Large,1330196.0,6,83137.25,14,5,Explorers,1159932.0363636364
O0648,P018,4,Product_18,Home & Kitchen,36654.0,C123,2025-10-26,South,Customer_123,Pune,2024-10-12,146616.0,2025.0,10.0,Sunday,622,318982.0,9,Large,1386794.0,4,138679.4,9,5,Explorers,1159932.0363636364
O0385,P029,1,Product_29,Electronics,59411.0,C015,2025-11-03,North,Customer_15,Chennai,2025-08-26,59411.0,2025.0,11.0,Monday,304,758819.0,15,,1260066.0,4,126006.6,8,5,Explorers,1159932.0363636364
O0649,P050,1,Product_50,Clothing,15109.0,C162,2025-09-26,Central,Customer_162,Mumbai,2025-08-16,15109.0,2025.0,9.0,Friday,314,563335.0,12,,1536129.0,5,90360.5294117647,13,5,Explorers,1159932.0363636364
O0413,P033,3,Product_33,Sports,58442.0,C194,2025-08-26,Central,Customer_194,Delhi,2024-09-07,175326.0,2025.0,8.0,Tuesday,657,396309.0,14,,2549645.0,7,121411.66666666667,20,5,High‑Value Regulars,2425420.28
O0712,P024,4,Product_24,Furniture,38675.0,C078,2025-06-18,Central,Customer_78,Bhopal,2025-07-03,154700.0,2025.0,6.0,Wednesday,358,283072.0,10,,1620187.0,6,101261.6875,15,4,New or Inactive,728920.2033898305
O0974,P032,3,Product_32,Electronics,23678.0,C036,2025-05-28,South,Customer_36,Indore,2024-10-11,71034.0,2025.0,5.0,Wednesday,623,714428.0,16,,3480698.0,10,91597.31578947368,23,5,High‑Value Regulars,2425420.28
O0596,P001,1,Product_1,Sports,20120.0,C016,2025-12-19,South,Customer_16,Jaipur,2024-01-07,20120.0,2025.0,12.0,Friday,901,137736.0,3,Medium,2240996.0,6,86192.15384615384,20,5,Loyal Spenders,2089813.5238095238
O0749,P030,3,Product_30,Furniture,14267.0,C097,2025-07-13,North,Customer_97,Kolkata,2024-03-21,42801.0,2025.0,7.0,Sunday,827,289699.0,8,Large,458711.0,2,114677.75,4,2,Occasional Buyers,985968.4242424242
O0871,P005,5,Product_5,Electronics,49155.0,C098,2025-12-05,North,Customer_98,Delhi,2025-05-12,245775.0,2025.0,12.0,Friday,410,245775.0,5,Large,1507433.0,7,94214.5625,14,5,Frequent but Low‑Value,1457817.2857142857
O0408,P014,4,Product_14,Furniture,3389.0,C090,2025-06-28,South,Customer_90,Bangalore,2025-07-06,13556.0,2025.0,6.0,Saturday,355,171537.0,11,,1408452.0,6,93896.8,14,5,Explorers,1159932.0363636364
O0845,P014,4,Product_14,Furniture,3389.0,C164,2025-01-29,North,Customer_164,Mumbai,2024-11-17,13556.0,2025.0,1.0,Wednesday,586,220652.0,8,Large,3230728.0,7,119656.5925925926,21,5,High‑Value Regulars,2425420.28
O0275,P021,3,Product_21,Electronics,58375.0,C076,2025-02-16,East,Customer_76,Hyderabad,2024-01-12,175125.0,2025.0,2.0,Sunday,896,731820.0,13,,2445365.0,5,163024.33333333334,13,5,Loyal Spenders,2089813.5238095238
O0346,P036,5,Product_36,Clothing,52921.0,C171,2025-06-10,East,Customer_171,Kolkata,2024-03-10,264605.0,2025.0,6.0,Tuesday,838,375892.0,11,,1347584.0,4,122507.63636363637,11,5,Explorers,1159932.0363636364
O0134,P037,4,Product_37,Clothing,58264.0,C048,2025-12-20,South,Customer_48,Bhopal,2025-12-05,233056.0,2025.0,12.0,Saturday,203,571294.0,10,,2085906.0,6,122700.35294117648,13,5,Loyal Spenders,2089813.5238095238
O0808,P022,1,Product_22,Clothing,36255.0,C057,2025-10-16,South,Customer_57,Chennai,2025-02-09,36255.0,2025.0,10.0,Thursday,502,476851.0,9,Large,1258987.0,3,157373.375,8,3,Occasional Buyers,985968.4242424242
O0048,P007,4,Product_7,Furniture,18965.0,C153,2025-10-14,East,Customer_153,Mumbai,2024-06-17,75860.0,2025.0,10.0,Tuesday,739,488700.0,12,,2778626.0,10,126301.18181818182,18,5,High‑Value Regulars,2425420.28
O0017,P008,2,Product_8,Sports,14303.0,C085,2025-12-07,Central,Customer_85,Hyderabad,2024-04-18,28606.0,2025.0,12.0,Sunday,799,165820.0,5,Large,2036339.0,8,119784.64705882352,14,5,High‑Value Regulars,2425420.28
O0452,P030,1,Product_30,Furniture,14267.0,C088,2025-04-20,West,Customer_88,Kolkata,2024-07-22,14267.0,2025.0,4.0,Sunday,704,14267.0,1,Small,715433.0,4,102204.71428571429,7,3,New or Inactive,728920.2033898305
O0982,P028,2,Product_28,Furniture,59415.0,C022,2025-03-27,Central,Customer_22,Indore,2024-04-09,118830.0,2025.0,3.0,Thursday,808,511711.0,16,,1337021.0,5,95501.5,12,5,Explorers,1159932.0363636364
O0706,P009,3,Product_9,Furniture,13842.0,C132,2025-08-07,East,Customer_132,Ahmedabad,2025-03-09,41526.0,2025.0,8.0,Thursday,474,174123.0,12,,367106.0,4,45888.25,7,4,New or Inactive,728920.2033898305
O0163,P018,1,Product_18,Home & Kitchen,36654.0,C020,2025-10-10,South,Customer_20,Pune,2024-12-10,36654.0,2025.0,10.0,Friday,563,36654.0,1,Small,1246106.0,5,103842.16666666667,12,4,New or Inactive,728920.2033898305
O0671,P024,3,Product_24,Furniture,38675.0,C140,2025-12-13,West,Customer_140,Pune,2024-07-13,116025.0,2025.0,12.0,Saturday,713,234557.0,14,,1330196.0,6,83137.25,14,5,Explorers,1159932.0363636364
O0085,P024,2,Product_24,Furniture,38675.0,C090,2025-01-27,South,Customer_90,Bangalore,2025-07-06,77350.0,2025.0,1.0,Monday,355,146560.0,7,Large,1408452.0,6,93896.8,14,5,Explorers,1159932.0363636364
O0054,P026,3,Product_26,Home & Kitchen,8852.0,C161,2025-09-06,South,Customer_161,Jaipur,2024-08-10,26556.0,2025.0,9.0,Saturday,685,26556.0,3,Medium,1198812.0,5,79920.8,15,5,Explorers,1159932.0363636364
O0744,P045,2,Product_45,Electronics,56768.0,C016,2025-10-05,North,Customer_16,Jaipur,2024-01-07,113536.0,2025.0,10.0,Sunday,901,899349.0,25,,2240996.0,6,86192.15384615384,20,5,Loyal Spenders,2089813.5238095238
O0440,P042,1,Product_42,Clothing,17985.0,C174,2025-10-13,West,Customer_174,Kolkata,2024-09-09,17985.0,2025.0,10.0,Monday,655,430566.0,12,,2306884.0,6,92275.36,22,5,Loyal Spenders,2089813.5238095238
O0721,P007,1,Product_7,Furniture,18965.0,C035,2025-04-23,West,Customer_35,Pune,2024-04-13,18965.0,2025.0,4.0,Wednesday,804,401107.0,8,Large,735878.0,4,81764.22222222222,9,4,New or Inactive,728920.2033898305
O0219,P031,1,Product_31,Clothing,44208.0,C073,2025-01-02,East,Customer_73,Indore,2025-01-25,44208.0,2025.0,1.0,Thursday,517,97643.0,6,Large,326272.0,2,81568.0,4,3,New or Inactive,728920.2033898305
O0136,P038,2,Product_38,Home & Kitchen,2124.0,C186,2025-05-22,Central,Customer_186,Jaipur,2025-04-13,4248.0,2025.0,5.0,Thursday,439,405017.0,14,,1275812.0,5,75047.76470588235,15,5,Explorers,1159932.0363636364
O0532,P044,4,Product_44,Electronics,25570.0,C115,2025-06-06,Central,Customer_115,Kolkata,2025-07-21,102280.0,2025.0,6.0,Friday,340,432647.0,17,,2256047.0,7,107430.80952380953,16,5,High‑Value Regulars,2425420.28
O0010,P001,3,Product_1,Sports,20120.0,C112,2025-06-10,Central,Customer_112,Delhi,2024-09-10,60360.0,2025.0,6.0,Tuesday,654,110403.0,6,Large,1762004.0,6,103647.29411764706,14,5,Loyal Spenders,2089813.5238095238
